Row len: 11, Content: ['512', '0', '0', '0', '512', '0', '0', '0', '715', '0', '715']
Row len: 11, Content: ['1014', '0', '0', '0', '1014', '0', '0', '0', '179', '0', '179']
Row len: 11, Content: ['208', '0', '0', '0', '208', '0', '0', '0', '43', '0', '43']
Row len: 11, Content: ['0', '0', '0', '0', '0', '0', '0', '0', '238', '0', '238']
Row len: 11, Content: ['658', '0', '0', '0', '658', '0', '0', '0', '1506', '0', '1506']
Row len: 11, Content: ['1968', '0', '0', '652', '2620', '0', '1268', '0', '2450', '0', '3718']
Row len: 11, Content: ['1487', '958', '956', '1728', '5129', '368', '1336', '1222', '1327', '100', '4353']
Row len: 11, Content: ['1616', '188', '219', '1671', '3694', '812', '1139', '1455', '1557', '225', '5188']
Row len: 11, Content: ['713', '164', '164', '896', '1937', '574', '1011', '1528', '1625', '215', '4953']
Row len: 11, Content: ['373', '71', '71', '1070', '1585', '229', '1066', '1388', '1498', '193', '4374']
Row len: 11, Content: ['28', '587', '303', '641', '1559', '0', '1411', '1349', '1449', '216', '4425']
Row len: 11, Content: ['669', '643', '646', '1866', '3824', '0', '1259', '1322', '1432', '240', '4253']
Row len: 11, Content: ['658', '779', '500', '1527', '3464', '0', '936', '1075', '1236', '165', '3412']
Row len: 11, Content: ['900', '498', '498', '1519', '3415', '0', '949', '986', '1158', '150', '3243']
Row len: 11, Content: ['1533', '315', '317', '1834', '3999', '0', '876', '826', '930', '103', '2735']
Row len: 11, Content: ['1403', '628', '626', '1117', '3774', '0', '929', '759', '823', '94', '2605']
Row len: 11, Content: ['1218', '355', '356', '1237', '3166', '0', '1247', '892', '830', '102', '3071']
Row len: 11, Content: ['1658', '261', '425', '1617', '3961', '0', '1501', '877', '792', '117', '3287']
Row len: 11, Content: ['1504', '76', '71', '2035', '3686', '0', '1332', '925', '763', '136', '3156']
Row len: 11, Content: ['1500', '84', '90', '2022', '3696', '0', '737', '793', '832', '134', '2496']
Row len: 11, Content: ['1278', '779', '451', '1100', '3608', '0', '358', '0', '1335', '0', '1693']
Row len: 11, Content: ['1198', '437', '436', '2053', '4124', '0', '218', '0', '720', '0', '938']
Row len: 11, Content: ['1864', '0', '0', '1153', '3017', '0', '0', '0', '197', '0', '197']
Row len: 11, Content: ['542', '0', '0', '0', '542', '0', '0', '0', '1', '0', '1']
Row len: 11, Content: ['24502', '6823', '6129', '25738', '63192', '1983', '17573', '15397', '23636', '2190', '60779']
Row len: 11, Content: ['512', '0', '0', '0', '512', '0', '0', '0', '715', '0', '715']
Row len: 11, Content: ['1014', '0', '0', '0', '1014', '0', '0', '0', '179', '0', '179']
Row len: 11, Content: ['208', '0', '0', '0', '208', '0', '0', '0', '43', '0', '43']
Row len: 11, Content: ['0', '0', '0', '0', '0', '0', '0', '0', '238', '0', '238']
Row len: 11, Content: ['658', '0', '0', '0', '658', '0', '0', '0', '1506', '0', '1506']
Row len: 11, Content: ['1968', '0', '0', '652', '2620', '0', '1268', '0', '2450', '0', '3718']
Row len: 11, Content: ['1487', '958', '956', '1728', '5129', '368', '1336', '1222', '1327', '100', '4353']
Row len: 11, Content: ['1616', '188', '219', '1671', '3694', '812', '1139', '1455', '1557', '225', '5188']
Row len: 11, Content: ['713', '164', '164', '896', '1937', '574', '1011', '1528', '1625', '215', '4953']
Row len: 11, Content: ['373', '71', '71', '1070', '1585', '229', '1066', '1388', '1498', '193', '4374']
Row len: 11, Content: ['28', '587', '303', '641', '1559', '0', '1411', '1349', '1449', '216', '4425']
Row len: 11, Content: ['669', '643', '646', '1866', '3824', '0', '1259', '1322', '1432', '240', '4253']
Row len: 11, Content: ['658', '779', '500', '1527', '3464', '0', '936', '1075', '1236', '165', '3412']
Row len: 11, Content: ['900', '498', '498', '1519', '3415', '0', '949', '986', '1158', '150', '3243']
Row len: 11, Content: ['1533', '315', '317', '1834', '3999', '0', '876', '826', '930', '103', '2735']
Row len: 11, Content: ['1403', '628', '626', '1117', '3774', '0', '929', '759', '823', '94', '2605']
Row len: 11, Content: ['1218', '355', '356', '1237', '3166', '0', '1247', '892', '830', '102', '3071']
Row len: 11, Content: ['1658', '261', '425', '1617', '3961', '0', '1501', '877', '792', '117', '3287']
Row len: 11, Content: ['1504', '76', '71', '2035', '3686', '0', '1332', '925', '763', '136', '3156']
Row len: 11, Content: ['1500', '84', '90', '2022', '3696', '0', '737', '793', '832', '134', '2496']
Row len: 11, Content: ['1278', '779', '451', '1100', '3608', '0', '358', '0', '1335', '0', '1693']
Row len: 11, Content: ['1198', '437', '436', '2053', '4124', '0', '218', '0', '720', '0', '938']
Row len: 11, Content: ['1864', '0', '0', '1153', '3017', '0', '0', '0', '197', '0', '197']
Row len: 11, Content: ['542', '0', '0', '0', '542', '0', '0', '0', '1', '0', '1']
Row len: 11, Content: ['24502', '6823', '6129', '25738', '63192', '1983', '17573', '15397', '23636', '2190', '60779']
Row len: 12, Content: ['00~01시', '512', '0', '0', '0', '512', '0', '0', '0', '715', '0', '715']
Row len: 12, Content: ['01~02시', '1014', '0', '0', '0', '1014', '0', '0', '0', '179', '0', '179']
Row len: 12, Content: ['02~03시', '208', '0', '0', '0', '208', '0', '0', '0', '43', '0', '43']
Row len: 12, Content: ['03~04시', '0', '0', '0', '0', '0', '0', '0', '0', '238', '0', '238']
Row len: 12, Content: ['04~05시', '658', '0', '0', '0', '658', '0', '0', '0', '1506', '0', '1506']
Row len: 12, Content: ['05~06시', '1968', '0', '0', '652', '2620', '0', '1268', '0', '2450', '0', '3718']
Row len: 12, Content: ['06~07시', '1487', '958', '956', '1728', '5129', '368', '1336', '1222', '1327', '100', '4353']
Row len: 12, Content: ['07~08시', '1616', '188', '219', '1671', '3694', '812', '1139', '1455', '1557', '225', '5188']
Row len: 12, Content: ['08~09시', '713', '164', '164', '896', '1937', '574', '1011', '1528', '1625', '215', '4953']
Row len: 12, Content: ['09~10시', '373', '71', '71', '1070', '1585', '229', '1066', '1388', '1498', '193', '4374']
Row len: 12, Content: ['10~11시', '28', '587', '303', '641', '1559', '0', '1411', '1349', '1449', '216', '4425']
Row len: 12, Content: ['11~12시', '669', '643', '646', '1866', '3824', '0', '1259', '1322', '1432', '240', '4253']
Row len: 12, Content: ['12~13시', '658', '779', '500', '1527', '3464', '0', '936', '1075', '1236', '165', '3412']
Row len: 12, Content: ['13~14시', '900', '498', '498', '1519', '3415', '0', '949', '986', '1158', '150', '3243']
Row len: 12, Content: ['14~15시', '1533', '315', '317', '1834', '3999', '0', '876', '826', '930', '103', '2735']
Row len: 12, Content: ['15~16시', '1403', '628', '626', '1117', '3774', '0', '929', '759', '823', '94', '2605']
Row len: 12, Content: ['16~17시', '1218', '355', '356', '1237', '3166', '0', '1247', '892', '830', '102', '3071']
Row len: 12, Content: ['17~18시', '1658', '261', '425', '1617', '3961', '0', '1501', '877', '792', '117', '3287']
Row len: 12, Content: ['18~19시', '1504', '76', '71', '2035', '3686', '0', '1332', '925', '763', '136', '3156']
Row len: 12, Content: ['19~20시', '1500', '84', '90', '2022', '3696', '0', '737', '793', '832', '134', '2496']
Row len: 12, Content: ['20~21시', '1278', '779', '451', '1100', '3608', '0', '358', '0', '1335', '0', '1693']
Row len: 12, Content: ['21~22시', '1198', '437', '436', '2053', '4124', '0', '218', '0', '720', '0', '938']
Row len: 12, Content: ['22~23시', '1864', '0', '0', '1153', '3017', '0', '0', '0', '197', '0', '197']
Row len: 12, Content: ['23~00시', '542', '0', '0', '0', '542', '0', '0', '0', '1', '0', '1']
Row len: 12, Content: ['합   계', '24502', '6823', '6129', '25738', '63192', '1983', '17573', '15397', '23636', '2190', '60779']
Row len: 12, Content: ['00~01시', '512', '0', '0', '0', '512', '0', '0', '0', '715', '0', '715']
Row len: 12, Content: ['01~02시', '1014', '0', '0', '0', '1014', '0', '0', '0', '179', '0', '179']
Row len: 12, Content: ['02~03시', '208', '0', '0', '0', '208', '0', '0', '0', '43', '0', '43']
Row len: 12, Content: ['03~04시', '0', '0', '0', '0', '0', '0', '0', '0', '238', '0', '238']
Row len: 12, Content: ['04~05시', '658', '0', '0', '0', '658', '0', '0', '0', '1506', '0', '1506']
Row len: 12, Content: ['05~06시', '1968', '0', '0', '652', '2620', '0', '1268', '0', '2450', '0', '3718']
Row len: 12, Content: ['06~07시', '1487', '958', '956', '1728', '5129', '368', '1336', '1222', '1327', '100', '4353']
Row len: 12, Content: ['07~08시', '1616', '188', '219', '1671', '3694', '812', '1139', '1455', '1557', '225', '5188']
Row len: 12, Content: ['08~09시', '713', '164', '164', '896', '1937', '574', '1011', '1528', '1625', '215', '4953']
Row len: 12, Content: ['09~10시', '373', '71', '71', '1070', '1585', '229', '1066', '1388', '1498', '193', '4374']
Row len: 12, Content: ['10~11시', '28', '587', '303', '641', '1559', '0', '1411', '1349', '1449', '216', '4425']
Row len: 12, Content: ['11~12시', '669', '643', '646', '1866', '3824', '0', '1259', '1322', '1432', '240', '4253']
Row len: 12, Content: ['12~13시', '658', '779', '500', '1527', '3464', '0', '936', '1075', '1236', '165', '3412']
Row len: 12, Content: ['13~14시', '900', '498', '498', '1519', '3415', '0', '949', '986', '1158', '150', '3243']
Row len: 12, Content: ['14~15시', '1533', '315', '317', '1834', '3999', '0', '876', '826', '930', '103', '2735']
Row len: 12, Content: ['15~16시', '1403', '628', '626', '1117', '3774', '0', '929', '759', '823', '94', '2605']
Row len: 12, Content: ['16~17시', '1218', '355', '356', '1237', '3166', '0', '1247', '892', '830', '102', '3071']
Row len: 12, Content: ['17~18시', '1658', '261', '425', '1617', '3961', '0', '1501', '877', '792', '117', '3287']
Row len: 12, Content: ['18~19시', '1504', '76', '71', '2035', '3686', '0', '1332', '925', '763', '136', '3156']
